Country,Date,Round,Challenge,Streetview,Coordinates,Region,Record Count
Türkiye,"May 10, 2025",3,Challenge,Street view,"38.857577870690633,35.813172760877265",Kayseri,1
Uruguay,"May 10, 2025",4,Challenge,Street view,"-31.711154053933239,-55.894907334997434",Departamento de Tacuarembó,1
Netherlands,"May 10, 2025",5,Challenge,Street view,"51.517502540966944,4.5113669956334794",Noord-Brabant,1
Peru,"May 11, 2025",1,Challenge,Street view,"-9.5247132073489951,-77.54632344504499",Áncash,1
Bulgaria,"May 11, 2025",2,Challenge,Street view,"42.5059738816999,26.480115349476993",Jambol,1
United Kingdom,"May 11, 2025",3,Challenge,Street view,"51.455142159928592,-3.1958878950741787",Vale of Glamorgan,1
Tunisia,"May 11, 2025",4,Challenge,Street view,"35.754148435875038,10.72254345963581",Monastir Governorate,1
Malaysia,"May 11, 2025",5,Challenge,Street view,"1.1622252232091679,110.55126405842591",Sarawak,1
Russia,"May 12, 2025",1,Challenge,Street view,"54.05856911593122,86.707891336777109",Kemerovo Oblast,1
Spain,"May 12, 2025",2,Challenge,Street view,"42.531719452276626,-6.5759067825358981",Castilla y León,1
United States,"May 12, 2025",3,Challenge,Street view,"48.597910016694023,-113.01611657901961",Montana,1
Indonesia,"May 12, 2025",4,Challenge,Street view,"-0.58404528936866884,100.11696743175172",Sumatera Barat,1
Brazil,"May 12, 2025",5,Challenge,Street view,"-16.36636560723743,-46.821128664894466",Minas Gerais,1
Iceland,"May 13, 2025",1,Challenge,Street view,"63.94512724425352,-21.029547755070833",Sveitarfélagið Ölfus,1
Greece,"May 13, 2025",2,Challenge,Street view,"38.387191970703483,21.430517868693912",Western Greece,1
Serbia,"May 13, 2025",3,Challenge,Street view,"45.759741512102664,19.13423752148363",Zapadnobački okrug,1
Japan,"May 13, 2025",4,Challenge,Street view,"40.34631955724609,141.14803323976761",Aomori,1
Bangladesh,"May 13, 2025",5,Challenge,Street view,"24.835128162046686,89.358818579312654",Rajshahi Division,1
Lithuania,"May 14, 2025",1,Challenge,Street view,"54.6422779546633,24.934134157506364",Vilniaus apskritis,1
Finland,"May 14, 2025",2,Challenge,Street view,"62.5453433708556,24.057212682574946",Etelä-Pohjanmaa,1
South Africa,"May 14, 2025",3,Challenge,Street view,"-29.192041701675681,31.404589360721459",KwaZulu-Natal,1
Palestine,"May 14, 2025",4,Challenge,Street view,"31.930607726838296,35.217288447517738",Palestine,1
Ukraine,"May 14, 2025",5,Challenge,Street view,"48.668458899334567,22.366579509613938",Zakarpats'ka oblast,1
Austria,"May 15, 2025",1,Challenge,Street view,"46.619047007249883,13.808021431663914",Kärnten,1
Uruguay,"May 15, 2025",2,Challenge,Street view,"-34.622422922540942,-54.1600862789807",Departamento de Rocha,1
Mexico,"May 15, 2025",3,Challenge,Street view,"25.482365294652475,-100.92994866025211",Coahuila de Zaragoza,1
Italy,"May 15, 2025",4,Challenge,Street view,"41.487004666255835,12.677808679961812",Lazio,1
Ghana,"May 15, 2025",5,Challenge,Street view,"5.62794530028186,-0.016325041858093938",Greater Accra Region,1
New Zealand,"May 16, 2025",1,Challenge,Street view,"-45.438497447873537,167.70717232354519",Southland Region,1
Brazil,"May 16, 2025",2,Challenge,Street view,"-20.478278754855577,-41.395320339879127",Espírito Santo,1
Nigeria,"May 16, 2025",3,Challenge,Street view,"8.45298949472782,4.55761287729159",Kwara,1
Poland,"May 16, 2025",4,Challenge,Street view,"49.95629787963675,20.43791810147475",Województwo małopolskie,1
Hong Kong,"May 16, 2025",5,Challenge,Street view,"22.533297286480924,114.15216109884869",New Territories,1
United States,"May 17, 2025",1,Challenge,Street view,"40.922452102797564,-117.76453100302224",Nevada,1
São Tomé og Príncipe,"May 17, 2025",2,Challenge,Street view,"0.33683941562960956,6.7346709486823606",Água Grande,1
Greenland,"May 17, 2025",3,Challenge,Street view,"68.7053633265761,-52.874449722432111",Kitaa,1
France,"May 17, 2025",4,Challenge,Street view,"44.86471698401413,0.53455250310213442",Nouvelle-Aquitaine,1
Türkiye,"May 17, 2025",5,Challenge,Street view,"41.430195117659345,33.816483581245429",Kastamonu,1
Thailand,"May 18, 2025",1,Challenge,Street view,"14.654344516610381,104.65639099000278",Si Sa Ket,1
Kazakhstan,"May 18, 2025",2,Challenge,Street view,"44.8788393927806,65.519790037325222",Kyzylorda Region,1
Slovakia,"May 18, 2025",3,Challenge,Street view,"49.193604867965561,18.727468376236125",Žilinský kraj,1
Colombia,"May 18, 2025",4,Challenge,Street view,"9.3364948780799146,-75.408848561892029",Sucre,1
Oman,"May 18, 2025",5,Challenge,Street view,"23.650667107131397,58.08965832380629",Muscat Governorate,1
Ukraine,"May 19, 2025",1,Challenge,Street view,"49.379291476137517,32.038977941774355",Cherkas'ka oblast,1
Israel,"May 19, 2025",2,Challenge,Street view,"31.783917026000658,34.664474286914121",South District,1
Sri Lanka,"May 19, 2025",3,Challenge,Street view,"6.4342101758533836,81.3225273357706",Uva Province,1
Cambodia,"May 19, 2025",4,Challenge,Street view,"13.390650165503969,103.78255192457574",Siem Reap Province,1
Argentina,"May 19, 2025",5,Challenge,Street view,"-36.808606320784953,-59.8904501775557",Provincia de Buenos Aires,1
Bolivia,"May 20, 2025",1,Challenge,Street view,"-17.95689794377266,-67.120306809470179",Departamento de Oruro,1
North Macedonia,"May 20, 2025",2,Challenge,Street view,"42.121989022094162,21.684971353361124",Municipality of Kumanovo,1
Qatar,"May 20, 2025",3,Challenge,Street view,"25.290664586888141,51.409088910347307",Al Rayyan Municipality,1
Indonesia,"May 20, 2025",4,Challenge,Street view,"-8.211957188034436,111.10489774422422",Jawa Timur,1
Portugal,"May 20, 2025",5,Challenge,Street view,"39.361856652716305,-9.1560179751848",Leiria,1
United States,"May 21, 2025",1,Challenge,Street view,"29.640549393602246,-90.740522152756455",Louisiana,1
Croatia,"May 21, 2025",2,Challenge,Street view,"46.393169603261974,16.468022936713535",Međimurska županija,1
Eswatini,"May 21, 2025",3,Challenge,Street view,"-26.329714545032349,31.109289914909585",Hhohho Region,1
Pitcairn Islands,"May 21, 2025",4,Challenge,Street view,"-25.068353510442538,-130.11306641392923",Pitcairn Islands,1
United Kingdom,"May 21, 2025",5,Challenge,Street view,"57.457416528136484,-4.2418231649133311",Highland Council,1
Tunisia,"May 22, 2025",1,Challenge,Street view,"37.268167450375216,9.8619421537175622",Gouvernorat de Bizerte,1
Ireland,"May 22, 2025",2,Challenge,Street view,"52.675186889821646,-6.3077070979761523",County Wexford,1
"Korea, South","May 22, 2025",3,Challenge,Street view,"35.829231592635033,127.14443248828319",Jeonbuk State,1
Norway,"May 22, 2025",4,Challenge,Street view,"63.303915607591044,9.841422344500474",Trøndelag,1
Thailand,"May 22, 2025",5,Challenge,Street view,"16.455407904555184,102.82239221134188",Chang Wat Khon Kaen,1
Russia,"May 23, 2025",1,Challenge,Street view,"51.723994021868577,36.1021233153666",Kurskaya oblast',1
Sweden,"May 23, 2025",2,Challenge,Street view,"56.906428928284143,12.497689046084165",Hallands län,1
Canada,"May 23, 2025",3,Challenge,Street view,"60.5944186001465,-134.90117954297159",Yukon,1
Chile,"May 23, 2025",4,Challenge,Street view,"-41.893153389674204,-73.814580804610571",Los Lagos,1
South Africa,"May 23, 2025",5,Challenge,Street view,"-33.633507313423159,22.217875822198138",Western Cape,1
Senegal,"May 24, 2025",1,Challenge,Street view,"14.810608817836849,-17.183149576708715",Région de Dakar,1
Ecuador,"May 24, 2025",2,Challenge,Street view,"0.95249065820478518,-79.669829300809056",Esmeraldas,1
Australia,"May 24, 2025",3,Challenge,Street view,"-35.177801586512693,147.31556437052342",New South Wales,1
Hungary,"May 24, 2025",4,Challenge,Street view,"48.212859244362036,20.290841672877963",Borsod-Abaúj-Zemplén,1
Uganda,"May 24, 2025",5,Challenge,Street view,"0.071924592796478268,32.466402318768282",Central Region,1
Kazakhstan,"May 25, 2025",1,Challenge,Street view,"43.341413948495187,76.816327123645365",Almaty,1
Greece,"May 25, 2025",2,Challenge,Street view,"36.419058964495463,28.226524843999218",Southern Aegean,1
Latvia,"May 25, 2025",3,Challenge,Street view,"56.897271892525296,24.042782954859661",Mārupes novads,1
Estonia,"May 25, 2025",4,Challenge,Street view,"58.737494885198416,26.396419167215633",Jõgeva maakond,1
Chile,"May 25, 2025",5,Challenge,Street view,"-53.145686473404261,-70.928773584220409",Magallanes y la Antártica Chilena,1
Belgium,"May 26, 2025",1,Challenge,Street view,"51.449307014822338,4.9310068426504809",Vlaanderen,1
Bolivia,"May 26, 2025",2,Challenge,Street view,"-16.469135336945673,-68.18001917465304",Departamento de La Paz,1
Brazil,"May 26, 2025",3,Challenge,Street view,"-3.6977445451174558,-40.317793169142583",Ceará,1
Japan,"May 26, 2025",4,Challenge,Street view,"45.396246568307291,141.7188691184019",Hokkaido,1
Iceland,"May 26, 2025",5,Challenge,Street view,"65.275964144232049,-14.41397987718751",Múlaþing,1
Germany,"May 27, 2025",1,Challenge,Street view,"53.686368315111764,7.8063738231021969",Niedersachsen,1
Brazil,"May 27, 2025",2,Challenge,Street view,"-27.677886726000576,-48.6426264403702",Santa Catarina,1
Panama,"May 27, 2025",3,Challenge,Street view,"8.0815137393751968,-80.984748309901619",Provincia de Veraguas,1
Norway,"May 27, 2025",4,Challenge,Street view,"58.021801795417488,7.4531171232529",Agder,1
Lesotho,"May 27, 2025",5,Challenge,Street view,"-29.135176182539542,27.7363380043015",Berea,1
Peru,"May 28, 2025",1,Challenge,Street view,"-14.078384269935343,-75.752575274442009",Ica,1
Puerto Rico,"May 28, 2025",2,Challenge,Street view,"18.099864932552446,-65.800292890214081",Humacao,1
American Samoa,"May 28, 2025",3,Challenge,Street view,"-14.329659053302059,-170.72388737200083",Western District,1
France,"May 28, 2025",4,Challenge,Street view,"48.537262369799947,2.6230753276516361",Île-de-France,1
Bangladesh,"May 28, 2025",5,Challenge,Street view,"24.8641787300102,91.868622429074719",Sylhet Division,1
Ireland,"May 29, 2025",1,Challenge,Street view,"53.342850421239142,-8.2197869768288854",County Galway,1
Denmark,"May 29, 2025",2,Challenge,Street view,"55.0540998661723,15.098093134625653",Capital Region of Denmark,1
United Arab Emirates,"May 29, 2025",3,Challenge,Street view,"25.819186302939261,56.03220053220285",Ras Al Khaimah,1
Peru,"May 29, 2025",4,Challenge,Street view,"-4.9479630561286223,-80.69682742959138",Piura,1
South Africa,"May 29, 2025",5,Challenge,Street view,"-27.952287070103115,26.831826258790517",Free State,1
Taiwan,"May 30, 2025",1,Challenge,Street view,"23.861357551182028,121.54780072540849",Hualien County,1
Indonesia,"May 30, 2025",2,Challenge,Street view,"1.7182627110324971,98.805494547179052",Sumatera Utara,1
Philippines,"May 30, 2025",3,Challenge,Street view,"10.748435993858628,121.97813319608328",Antique,1
United States,"May 30, 2025",4,Challenge,Street view,"37.576557289187015,-120.89269156689132",California,1
Iceland,"May 30, 2025",5,Challenge,Street view,"64.00962411771674,-22.577869216141739",Reykjanesbær,1
Ukraine,"May 31, 2025",1,Challenge,Street view,"49.5872242842134,25.545394883713453",Ternopil's'ka oblast,1
Nigeria,"May 31, 2025",2,Challenge,Street view,"5.0100112932269782,7.891050001978491",Akwa Ibom,1
Cambodia,"May 31, 2025",3,Challenge,Street view,"11.482802245648045,104.9475675987038",Kandal Province,1
Svalbard and Jan Mayen,"May 31, 2025",4,Challenge,Street view,"78.220466888168218,15.651182819181546",Svalbard,1
Mexico,"May 31, 2025",5,Challenge,Street view,"27.926865171860989,-110.88367694287885",Sonora,1
United Kingdom,"Jun 1, 2025",1,Challenge,Street view,"52.414257676816305,-1.8973363327575457",West Midlands,1
Brazil,"Jun 1, 2025",2,Challenge,Street view,"-10.23798608084933,-48.319511762329228",Tocantins,1
Bulgaria,"Jun 1, 2025",3,Challenge,Street view,"42.593098239795189,23.032152336749004",Pernik,1
Indonesia,"Jun 1, 2025",4,Challenge,Street view,"-1.2386405785305796,116.84477066536265",Kalimantan Timur,1
Bhutan,"Jun 1, 2025",5,Challenge,Street view,"26.879867773026994,90.49455104197699",Sarpang,1
Malaysia,"Jun 2, 2025",1,Challenge,Street view,"4.209370488280749,100.69086384897849",Perak,1
France,"Jun 2, 2025",2,Challenge,Street view,"46.294302961937511,4.8241826193764439",Bourgogne-Franche-Comté,1
Denmark,"Jun 2, 2025",3,Challenge,Street view,"55.966807414884812,11.886710167840333",Capital Region of Denmark,1
Mexico,"Jun 2, 2025",4,Challenge,Street view,"26.035521452865829,-98.2804820394538",Tamaulipas,1
Romania,"Jun 2, 2025",5,Challenge,Street view,"46.603690666027852,25.087920311739804",Județul Mureș,1
Canada,"Jun 3, 2025",1,Challenge,Street view,"53.313337038356373,-60.2901203374734",Newfoundland and Labrador,1
Singapore,"Jun 3, 2025",2,Challenge,Street view,"1.3822037470071344,103.94513933817008",Singapore,1
Poland,"Jun 3, 2025",3,Challenge,Street view,"53.708192490051069,19.986637611356112",Województwo warmińsko-mazurskie,1
Norway,"Jun 3, 2025",4,Challenge,Street view,"67.265626422836533,15.416623410939605",Nordland,1
Argentina,"Jun 3, 2025",5,Challenge,Street view,"-45.868300360804319,-67.561912724341454",Chubut,1
Russia,"Jun 4, 2025",1,Challenge,Street view,"68.146449843551423,33.243097249872626",Murmanskaya oblast',1
Thailand,"Jun 4, 2025",2,Challenge,Street view,"16.727095187297945,98.580197862148609",Chang Wat Tak,1
South Africa,"Jun 4, 2025",3,Challenge,Street view,"-25.987893454973573,28.174018693650709",Gauteng,1
Christmas Island,"Jun 4, 2025",4,Challenge,Street view,"-10.420938820319719,105.67748179112273",Shire of Christmas Island,1
Spain,"Jun 4, 2025",5,Challenge,Street view,"39.864569100212535,-4.0505046294689109",Castilla-La Mancha,1
Malaysia,"Jun 5, 2025",1,Challenge,Street view,"2.1192572683232509,111.5260599884775",Sarawak,1
Senegal,"Jun 5, 2025",2,Challenge,Street view,"12.549661544390073,-16.258316631426514",Ziguinchor Region,1
Chile,"Jun 5, 2025",3,Challenge,Street view,"-22.92071283070992,-68.206219788595362",Antofagasta,1
United Kingdom,"Jun 5, 2025",4,Challenge,Street view,"60.001498259851957,-1.2326223472323758",Shetland Islands,1
United States,"Jun 5, 2025",5,Challenge,Street view,"40.865113201093962,-97.604383625738919",Nebraska,1
Switzerland,"Jun 6, 2025",1,Challenge,Street view,"46.283036542923305,6.1617599173761448",Genève,1
France,"Jun 6, 2025",2,Challenge,Street view,"48.581587790926825,-3.8558825769336282",Bretagne,1
Australia,"Jun 6, 2025",3,Challenge,Street view,"-28.540665327732938,150.27674524288736",Queensland,1
Mongolia,"Jun 6, 2025",4,Challenge,Street view,"49.472529024598217,105.95330207119385",Darkhan-Uul,1
"Korea, South","Jun 6, 2025",5,Challenge,Street view,"38.1883078904693,128.58447840759237",Gangwon-do,1
Namibia,"Jun 7, 2025",1,Challenge,Street view,"-22.963118398949607,14.532730095127711",Erongo Region,1
Austria,"Jun 7, 2025",2,Challenge,Street view,"47.913613785605,13.789556994481487",Oberösterreich,1
Kazakhstan,"Jun 7, 2025",3,Challenge,Street view,"42.847047452803324,71.38826749147465",Jambıl oblısı,1
Germany,"Jun 7, 2025",4,Challenge,Street view,"52.089425997461852,11.612939831826202",Sachsen-Anhalt,1
Brazil,"Jun 7, 2025",5,Challenge,Street view,"-5.3240188952064,-49.107021359202157",Pará,1
Mexico,"Jun 8, 2025",1,Challenge,Street view,"21.122336429816741,-86.865051707586431",Quintana Roo,1
Peru,"Jun 8, 2025",2,Challenge,Street view,"-4.2743792226467017,-81.212954117723086",Piura,1
Canada,"Jun 8, 2025",3,Challenge,Street view,"51.118906101948212,-106.59989429230235",Saskatchewan,1
France,"Jun 8, 2025",4,Challenge,Street view,"43.060403247002348,2.2179763338426537",Occitanie,1
Kenya,"Jun 8, 2025",5,Challenge,Street view,"-0.13185381892157452,34.743982881996644",Kisumu County,1
Bolivia,"Jun 9, 2025",1,Challenge,Street view,"-17.79279418388413,-63.10852965844883",Departamento de Santa Cruz,1
Czechia,"Jun 9, 2025",2,Challenge,Street view,"49.681791712063479,13.985798982535595",Středočeský kraj,1
Åland,"Jun 9, 2025",3,Challenge,Street view,"60.231404377304941,19.999812876119687",Ålands landsbygd,1
Türkiye,"Jun 9, 2025",4,Challenge,Street view,"41.015403828942006,40.515576278312189",Rize,1
France,"Jun 9, 2025",5,Challenge,Street view,"43.091250674523927,-0.055936693337465225",Occitanie,1
Lithuania,"Jun 10, 2025",1,Challenge,Street view,"56.291967426844664,22.336665300579366",Telšių apskritis,1
Oman,"Jun 10, 2025",2,Challenge,Street view,"22.56418822034475,59.531981817365008",Ash Sharqiyah South Governorate,1
Jordan,"Jun 10, 2025",3,Challenge,Street view,"30.325824623920191,35.468275702126704",Ma'an Governorate,1
Greece,"Jun 10, 2025",4,Challenge,Street view,"40.861172618050539,25.893629222936333",East Macedonia and Thrace,1
Brazil,"Jun 10, 2025",5,Challenge,Street view,"-19.455183683494148,-42.546592366464857",Minas Gerais,1
Argentina,"Jun 11, 2025",1,Challenge,Street view,"-27.803221963196219,-64.237572101536728",Santiago del Estero,1
Australia,"Jun 11, 2025",2,Challenge,Street view,"-34.966065662388836,117.35430570613373",Western Australia,1
Slovenia,"Jun 11, 2025",3,Challenge,Street view,"45.91348735745126,14.243644155718277",Logatec,1
Italy,"Jun 11, 2025",4,Challenge,Street view,"42.391512830411784,11.211001447840916",Toscana,1
Isle of Man,"Jun 11, 2025",5,Challenge,Street view,"54.076721401505843,-4.6429904635704684",Castletown,1
United States,"Jun 12, 2025",1,Challenge,Street view,"45.6508197324768,-111.04538426225571",Montana,1
Greenland,"Jun 12, 2025",2,Challenge,Street view,"60.909884754451959,-46.062359552296364",Kujalleq Kommune,1
Luxembourg,"Jun 12, 2025",3,Challenge,Street view,"49.497102063101444,5.9704909918009346",Esch-sur-Alzette,1
Philippines,"Jun 12, 2025",4,Challenge,Street view,"14.8280026128626,120.27525413621889",Zambales,1
Finland,"Jun 12, 2025",5,Challenge,Street view,"61.127602867333849,21.510850813308583",Satakunta,1
Spain,"Jun 13, 2025",1,Challenge,Street view,"42.813305837138522,-1.6984631024347308",Navarra,1
Poland,"Jun 13, 2025",2,Challenge,Street view,"51.716310999227744,19.497414516505181",Województwo łódzkie,1
Russia,"Jun 13, 2025",3,Challenge,Street view,"53.181072163522437,50.26483856633412",Samarskaya oblast',1
South Africa,"Jun 13, 2025",4,Challenge,Street view,"-33.323849622307094,26.515232363217759",Eastern Cape,1
Japan,"Jun 13, 2025",5,Challenge,Street view,"33.548807343512514,133.55929416836938",Kochi,1
Sweden,"Jun 14, 2025",1,Challenge,Street view,"58.279258166485988,12.29192391416567",Västra Götalands län,1
Argentina,"Jun 14, 2025",2,Challenge,Street view,"-36.660239721397652,-64.2908426076693",La Pampa,1
Ukraine,"Jun 14, 2025",3,Challenge,Street view,"51.513783255140908,31.238348229512916",Chernihivs'ka oblast,1
Estonia,"Jun 14, 2025",4,Challenge,Street view,"58.366999054382383,24.537931151565445",Pärnu maakond,1
Brazil,"Jun 14, 2025",5,Challenge,Street view,"-14.250388385678844,-42.747531657619845",Bahia,1
Ghana,"Jun 15, 2025",1,Challenge,Street view,"6.194823185552556,-1.690798713302039",Ashanti Region,1
Ireland,"Jun 15, 2025",2,Challenge,Street view,"53.865674567948922,-7.2078574804499889",County Cavan,1
Colombia,"Jun 15, 2025",3,Challenge,Street view,"4.796866418303134,-74.343379109032412",Cundinamarca,1
United States,"Jun 15, 2025",4,Challenge,Street view,"34.362671584878221,-89.519498664437165",Mississippi,1
Bangladesh,"Jun 15, 2025",5,Challenge,Street view,"24.3633612699576,88.567249425249955",Rajshahi Division,1
Canada,"Jun 16, 2025",1,Challenge,Street view,"52.26947646155481,-113.83544417544125",Alberta,1
Türkiye,"Jun 16, 2025",2,Challenge,Street view,"41.664391591240523,26.56102732798108",Edirne,1
Bulgaria,"Jun 16, 2025",3,Challenge,Street view,"43.412002516323355,28.349546613708366",Dobrich Province,1
Albania,"Jun 16, 2025",4,Challenge,Street view,"41.773070848461359,19.625561506056975",Lezhë County,1
Bolivia,"Jun 16, 2025",5,Challenge,Street view,"-19.606516783144759,-65.74279495444118",Departamento de Potosí,1
Brazil,"Jun 17, 2025",1,Challenge,Street view,"2.7789735755008178,-60.749465846583149",Roraima,1
United States,"Jun 17, 2025",2,Challenge,Street view,"48.078807477624807,-98.927868185356161",North Dakota,1
Australia,"Jun 17, 2025",3,Challenge,Street view,"-23.137802654168613,150.74598917537304",Queensland,1
Montenegro,"Jun 17, 2025",4,Challenge,Street view,"42.767815009134857,18.954550590756586",Opština Nikšić,1
Kyrgyzstan,"Jun 17, 2025",5,Challenge,Street view,"40.772116354415225,73.292329187397257",Osh Region,1
Sweden,"Jun 18, 2025",1,Challenge,Street view,"65.849722189398122,24.096354560888543",Norrbottens län,1
Portugal,"Jun 18, 2025",2,Challenge,Street view,"37.138035998092974,-7.5955798303650033",Faro,1
Paraguay,"Jun 18, 2025",3,Challenge,Street view,"-22.552292243422354,-55.723132125059095",Amambai,1
France,"Jun 18, 2025",4,Challenge,Street view,"45.4070301713706,2.0452205472327494",Nouvelle-Aquitaine,1
Italy,"Jun 18, 2025",5,Challenge,Street view,"40.936362477188027,17.300188456173739",Puglia,1
Croatia,"Jun 19, 2025",1,Challenge,Street view,"45.479004274287711,15.543418011860197",Karlovačka županija,1
Cambodia,"Jun 19, 2025",2,Challenge,Street view,"13.733772709696366,107.0026742103023",Ratanakiri Province,1
Hong Kong,"Jun 19, 2025",3,Challenge,Street view,"22.245205439156692,114.15671439676024",Hong Kong Island,1
Belgium,"Jun 19, 2025",4,Challenge,Street view,"51.346220330220625,3.280866594578483",Vlaanderen,1
United Kingdom,"Jun 19, 2025",5,Challenge,Street view,"51.272456269177376,-1.0612837042391334",Hampshire,1
South Africa,"Jun 20, 2025",1,Challenge,Street view,"-28.451824118962278,21.235053483768777",Northern Cape,1
Russia,"Jun 20, 2025",2,Challenge,Street view,"42.84181486595417,132.93002706270508",Primorskiy kray,1
North Macedonia,"Jun 20, 2025",3,Challenge,Street view,"41.71357358972115,21.771320522296556",Municipality of Veles,1
Egypt,"Jun 20, 2025",4,Challenge,Street view,"31.212972536730383,29.885012324181307",Alexandria Governorate,1
Switzerland,"Jun 20, 2025",5,Challenge,Street view,"47.358965729324041,8.7084668983611451",Zürich,1
Malta,"Jun 21, 2025",1,Challenge,Street view,"35.8152563385508,14.525971647796972",Malta,1
Canada,"Jun 21, 2025",2,Challenge,Street view,"53.9966811946236,-97.789229183433",Manitoba,1
Thailand,"Jun 21, 2025",3,Challenge,Street view,"12.66134909308802,101.27082328884777",Chang Wat Rayong,1
Indonesia,"Jun 21, 2025",4,Challenge,Street view,"-6.0180530175685272,106.06564304960135",Banten,1
Hungary,"Jun 21, 2025",5,Challenge,Street view,"47.174680652511256,18.39918039193374",Fejér,1
Germany,"Jun 22, 2025",1,Challenge,Street view,"53.550360374013152,9.85466370149829",Hamburg,1
Uruguay,"Jun 22, 2025",2,Challenge,Street view,"-34.777727533660865,-55.746931810336172",Departamento de Canelones,1
New Zealand,"Jun 22, 2025",3,Challenge,Street view,"-38.679246091063447,178.03107974547558",Gisborne Region,1
Poland,"Jun 22, 2025",4,Challenge,Street view,"53.387948345474463,14.507122072538689",Województwo zachodniopomorskie,1
Mexico,"Jun 22, 2025",5,Challenge,Street view,"19.299952452553988,-99.6518176498814",Estado de México,1
Czechia,"Jun 23, 2025",1,Challenge,Street view,"49.727877034505148,13.348598640654394",Plzeňský kraj,1
Greece,"Jun 23, 2025",2,Challenge,Street view,"39.623865403855476,19.92204319080955",Ionian Islands,1
Japan,"Jun 23, 2025",3,Challenge,Street view,"34.459209191596223,136.72264106209332",Mie,1
Taiwan,"Jun 23, 2025",4,Challenge,Street view,"24.020777553200165,121.13515237237617",Nantou County,1
Senegal,"Jun 23, 2025",5,Challenge,Street view,"14.157047851760534,-16.068505294343694",Kaolack Region,1
Lesotho,"Jun 24, 2025",1,Challenge,Street view,"-29.337210600940388,27.456843011246569",Maseru,1
Romania,"Jun 24, 2025",2,Challenge,Street view,"47.6475145455101,26.267645106748212",Județul Suceava,1
Ukraine,"Jun 24, 2025",3,Challenge,Street view,"47.849166539473515,35.152483650563077",Zaporiz'ka oblast,1
Kazakhstan,"Jun 24, 2025",4,Challenge,Street view,"50.2852363638141,57.269314495864656",Aqtöbe oblısı,1
Chile,"Jun 24, 2025",5,Challenge,Street view,"-29.951807001197913,-71.359801343062344",Coquimbo,1
Brazil,"Jun 25, 2025",1,Challenge,Street view,"-31.730588002879077,-52.32035158376253",Rio Grande do Sul,1
Madagascar,"Jun 25, 2025",2,Challenge,Street view,"-18.922713352244678,47.532004209986845",Analamanga,1
Malaysia,"Jun 25, 2025",3,Challenge,Street view,"5.8653451029480852,117.94918892876211",Sabah,1
Indonesia,"Jun 25, 2025",4,Challenge,Street view,"-6.6072203089051342,106.79309841435635",Jawa Barat,1
Norway,"Jun 25, 2025",5,Challenge,Street view,"61.594960861665335,9.7484935579159853",Innlandet,1
Italy,"Jun 26, 2025",1,Challenge,Street view,"45.824320416411986,8.8295441458827089",Lombardia,1
United States,"Jun 26, 2025",2,Challenge,Street view,"35.50575084154088,-98.986732217612982",Oklahoma,1
Denmark,"Jun 26, 2025",3,Challenge,Street view,"56.978983166528508,9.63444907639937",North Denmark Region,1
Philippines,"Jun 26, 2025",4,Challenge,Street view,"10.66459919174854,122.99007666762134",Negros Occidental,1
Türkiye,"Jun 26, 2025",5,Challenge,Street view,"40.985875880486454,27.507463636343118",Tekirdağ,1
South Africa,"Jun 27, 2025",1,Challenge,Street view,"-23.950602960797884,31.132318447943021",Limpopo,1
Sweden,"Jun 27, 2025",2,Challenge,Street view,"57.326159211717794,17.009945624807326",Kalmar län,1
Russia,"Jun 27, 2025",3,Challenge,Street view,"59.569555709790606,150.78276218993452",Magadanskaya oblast',1
India,"Jun 27, 2025",4,Challenge,Street view,"21.133668005676803,72.852592955158826",Gujarat,1
Australia,"Jun 27, 2025",5,Challenge,Street view,"-34.176022039776313,142.1613922793635",Victoria,1
Canada,"Jun 28, 2025",1,Challenge,Street view,"44.219270958185419,-76.510776101259808",Ontario,1
Spain,"Jun 28, 2025",2,Challenge,Street view,"43.525235319800458,-5.6583310014371815",Asturias,1
Israel,"Jun 28, 2025",3,Challenge,Street view,"32.811529865468181,34.984825176611857",Haifa District,1
Brazil,"Jun 28, 2025",4,Challenge,Street view,"-18.411291158531085,-49.128563307998867",Minas Gerais,1
Argentina,"Jun 28, 2025",5,Challenge,Street view,"-53.806868170132056,-67.769191682909948",Tierra del Fuego,1
Italy,"Jun 29, 2025",1,Challenge,Street view,"44.401579410119254,8.97729529567177",Liguria,1
Slovakia,"Jun 29, 2025",2,Challenge,Street view,"48.990524415616591,21.233019313225572",Prešovský kraj,1
Nepal,"Jun 29, 2025",3,Challenge,Street view,"27.805117860647041,86.709801977699357",Koshi Province,1
Peru,"Jun 29, 2025",4,Challenge,Street view,"-13.431891371367458,-76.1449138177874",Ica,1
Greece,"Jun 29, 2025",5,Challenge,Street view,"39.352097206118316,22.962079716334323",Thessalia,1
"Korea, South","Jun 30, 2025",1,Challenge,Street view,"34.7838101656489,126.38535329311169",Jeollanam-do,1
Russia,"Jun 30, 2025",2,Challenge,Street view,"57.338417186421225,28.361001243783679",Pskovskaya oblast',1
Indonesia,"Jun 30, 2025",3,Challenge,Street view,"-7.6507305697901655,112.89916633156322",Jawa Timur,1
Spain,"Jun 30, 2025",4,Challenge,Street view,"37.392516453912158,-2.1361751715527855",Andalusia,1
Namibia,"Jun 30, 2025",5,Challenge,Street view,"-22.561056625434002,17.069197029901964",Khomas Region,1
Kenya,"Jul 1, 2025",1,Challenge,Street view,"0.488693223707236,35.25849829129821",Uasin Gishu County,1
